t,node,src,dst,count,limit,nwk_q
2,0,0,3,2,4,2
3,0,0,3,2,4,2
4,0,0,3,2,4,2
5,0,0,3,2,4,2
6,0,0,3,2,4,2
7,0,0,3,2,4,2
8,0,0,3,2,4,2
9,0,0,3,2,4,2
10,0,0,3,2,4,2
11,0,0,3,2,4,2
12,0,0,3,2,4,2
13,0,0,3,2,4,2
14,0,0,3,2,4,2
15,0,0,3,2,4,2
16,0,0,3,2,4,2
17,0,0,3,2,4,2
17,3,2,0,0,4,0
18,0,0,3,2,4,2
18,2,2,0,0,4,0
18,3,2,0,0,4,0
19,0,0,3,2,4,2
19,2,2,0,0,4,0
19,3,2,0,0,4,0
20,0,0,3,2,4,2
20,2,2,0,0,4,0
20,3,2,0,0,4,0
21,0,0,3,2,4,2
21,2,2,0,0,4,0
21,3,2,0,0,4,0
22,0,0,3,2,4,2
22,2,2,0,0,4,0
22,3,2,0,0,4,0
23,0,0,3,2,4,2
23,2,2,0,0,4,0
23,3,2,0,0,4,0
24,0,0,3,2,4,2
24,2,2,0,0,4,0
24,3,2,0,0,4,0
25,0,0,3,2,4,2
25,2,2,0,0,4,0
25,3,2,0,0,4,0
26,0,0,3,2,4,2
26,2,2,0,0,4,0
26,3,2,0,0,4,0
27,0,0,3,2,4,2
27,2,2,0,0,4,0
27,3,2,0,0,4,0
28,0,0,3,2,4,2
28,2,2,0,0,4,0
28,3,2,0,0,4,0
29,0,0,3,2,4,2
29,2,2,0,0,4,0
29,3,2,0,0,4,0
30,0,0,3,2,4,2
30,2,2,0,0,4,0
30,3,2,0,0,4,0
31,0,0,3,2,4,2
31,2,2,0,0,4,0
31,3,2,0,0,4,0
32,0,0,3,2,4,2
32,2,2,0,0,4,0
32,3,2,0,0,4,0
33,0,0,3,2,4,2
33,2,2,0,0,4,0
33,3,2,0,0,4,0
34,0,0,3,2,4,2
34,2,2,0,0,4,0
34,3,2,0,0,4,0
35,0,0,3,2,4,2
35,2,2,0,0,4,0
35,3,2,0,0,4,0
36,0,0,3,2,4,2
36,2,2,0,0,4,0
36,3,2,0,0,4,0
37,0,0,3,2,4,2
37,2,2,0,0,4,0
37,3,2,0,0,4,0
38,0,0,3,2,4,2
38,2,2,0,0,4,0
38,3,2,0,0,4,0
39,0,0,3,2,4,2
39,2,2,0,0,4,0
39,3,2,0,0,4,0
40,0,0,3,2,4,2
40,2,2,0,0,4,0
40,3,2,0,0,4,0
41,0,0,3,2,4,2
41,2,2,0,0,4,0
41,3,2,0,0,4,0
42,0,0,3,2,4,2
42,2,2,0,0,4,0
42,3,2,0,0,4,0
43,0,0,3,2,4,2
43,2,2,0,0,4,0
43,3,2,0,0,4,0
44,0,0,3,2,4,2
44,2,2,0,0,4,0
44,3,2,0,0,4,0
45,0,0,3,2,4,2
45,2,2,0,0,4,0
45,3,2,0,0,4,0
46,0,0,3,2,4,2
46,2,2,0,0,4,0
46,3,2,0,0,4,0
47,0,0,3,2,4,2
47,2,2,0,0,4,0
47,3,2,0,0,4,0
48,0,0,3,2,4,2
48,2,2,0,0,4,0
48,3,2,0,0,4,0
49,0,0,3,2,4,2
49,2,2,0,0,4,0
49,3,2,0,0,4,0
50,0,0,3,2,4,2
50,2,2,0,0,4,0
50,3,2,0,0,4,1
50,3,3,0,1,4,1
51,0,0,3,2,4,2
51,2,2,0,0,4,1
51,2,3,0,1,4,1
51,3,2,0,0,4,0
51,3,3,0,1,4,0
52,0,0,3,2,4,2
52,1,1,3,1,4,1
52,2,2,0,0,4,1
52,2,3,0,1,4,1
52,3,2,0,0,4,0
52,3,3,0,0,4,0
53,0,0,3,2,4,3
53,0,1,3,1,4,3
53,1,1,3,1,4,0
53,2,2,0,0,4,1
53,2,3,0,1,4,1
53,3,2,0,0,4,0
53,3,3,0,0,4,0
54,0,0,3,2,4,3
54,0,1,3,1,4,3
54,1,1,3,0,4,0
54,2,2,0,0,4,1
54,2,3,0,1,4,1
54,3,2,0,0,4,0
54,3,3,0,0,4,0
55,0,0,3,2,4,3
55,0,1,3,1,4,3
55,1,1,3,0,4,0
55,2,2,0,0,4,1
55,2,3,0,1,4,1
55,3,2,0,0,4,0
55,3,3,0,0,4,0
56,0,0,3,2,4,3
56,0,1,3,1,4,3
56,1,1,3,0,4,0
56,2,2,0,0,4,1
56,2,3,0,1,4,1
56,3,2,0,0,4,0
56,3,3,0,0,4,0
57,0,0,3,2,4,3
57,0,1,3,1,4,3
57,1,1,3,0,4,0
57,2,2,0,0,4,1
57,2,3,0,1,4,1
57,3,2,0,0,4,0
57,3,3,0,0,4,0
58,0,0,3,2,4,3
58,0,1,3,1,4,3
58,1,1,3,0,4,0
58,2,2,0,0,4,1
58,2,3,0,1,4,1
58,3,2,0,0,4,0
58,3,3,0,0,4,0
59,0,0,3,2,4,3
59,0,1,3,1,4,3
59,1,1,3,0,4,0
59,2,2,0,0,4,1
59,2,3,0,1,4,1
59,3,2,0,0,4,0
59,3,3,0,0,4,0
60,0,0,3,2,4,3
