t,tx,rx,seq,rateKbps,bits,dist_m,pathloss_db,snr_db,per,success
1.19196,0,1,1,8,320,50,107.377,-0.40234,0,1
2.1232,1,0,1,32,320,50,107.377,-0.40234,0.159194,1
2.23546,0,1,1,8,88,50,107.377,-0.40234,0,1
2.34196,2,1,2,8,320,120,115.742,-8.76699,0,1
2.34196,2,3,2,8,320,80,111.868,-4.89298,0,1
3.74196,1,0,3,8,320,50,107.377,-0.40234,0,1
3.74196,1,2,3,8,320,120,115.742,-8.76699,0,1
4.31124,1,0,2,32,320,50,107.377,-0.40234,0.159194,1
4.4235,0,1,2,8,88,50,107.377,-0.40234,0,1
6.94401,0,1,4,8,336,50,107.377,-0.40234,0,1
7.94196,2,1,5,8,320,120,115.742,-8.76699,0,1
7.94196,2,3,5,8,320,80,111.868,-4.89298,0,1
9.44196,2,1,6,8,320,120,115.742,-8.76699,0,1
9.44196,2,3,6,8,320,80,111.868,-4.89298,0,1
10.692,1,2,1,8,320,120,115.742,-8.76699,0,1
10.8042,2,1,1,8,88,120,115.742,-8.76699,0,1
10.942,3,2,7,8,320,80,111.868,-4.89298,0,1
11.192,0,1,8,8,320,50,107.377,-0.40234,0,1
12.1232,1,0,3,32,320,50,107.377,-0.40234,0.159194,1
12.2355,0,1,3,8,88,50,107.377,-0.40234,0,1
12.942,2,1,1,8,320,120,115.742,-8.76699,0,1
13.0542,1,2,1,8,88,120,115.742,-8.76699,0,1
14.942,1,2,2,8,320,120,115.742,-8.76699,0,1
15.0542,2,1,2,8,88,120,115.742,-8.76699,0,1
16.9297,2,3,1,16,448,80,111.868,-4.89298,0,1
17.0419,3,2,1,8,88,80,111.868,-4.89298,0,1
17.8512,3,2,1,16,320,80,111.868,-4.89298,0,1
17.9634,2,3,1,8,88,80,111.868,-4.89298,0,1
18.942,0,1,9,8,320,50,107.377,-0.40234,0,1
20.442,2,1,10,8,320,120,115.742,-8.76699,0,1
20.442,2,3,10,8,320,80,111.868,-4.89298,0,1
21.3834,3,2,2,16,320,80,111.868,-4.89298,0,1
21.4039,1,2,3,8,320,120,115.742,-8.76699,0,1
21.4957,2,3,2,8,88,80,111.868,-4.89298,0,1
21.5162,2,1,3,8,88,120,115.742,-8.76699,0,1
23.442,2,1,2,8,320,120,115.742,-8.76699,0,1
23.5542,1,2,2,8,88,120,115.742,-8.76699,0,1
24.4203,1,2,4,8,448,120,115.742,-8.76699,0,1
24.5326,2,1,4,8,88,120,115.742,-8.76699,0,1
25.4745,1,2,5,8,320,120,115.742,-8.76699,0,1
25.5868,2,1,5,8,88,120,115.742,-8.76699,0,1
26.5288,1,2,6,8,320,120,115.742,-8.76699,0,1
26.641,2,1,6,8,88,120,115.742,-8.76699,0,1
32.192,1,2,7,8,320,120,115.742,-8.76699,0,1
32.3042,2,1,7,8,88,120,115.742,-8.76699,0,1
33.9583,2,1,3,8,448,120,115.742,-8.76699,0,1
34.0706,1,2,3,8,88,120,115.742,-8.76699,0,1
34.942,0,1,11,8,320,50,107.377,-0.40234,0,1
